# Replacement pairs for StandardizeSpecialChars.
# Format: from<TAB>to[<TAB># comment]. Line order defines the
# strings.Replacer registration order: when several patterns match at the
# same position, the earliest pair in this file wins.

# ============================================================
# Category 1: 住所パターン (addressPatterns)
# 複数文字の変換、住所特有のパターン
# ============================================================
# Kyoto street name patterns: 入ル → 入 (DB uses 入 without ル)
東入ル	東入
西入ル	西入
# Multi-character mappings
楠木	楠
# Character to multi-character
鸙	雲雀
桵	たら
# ABR外字縮退マップより（1文字→複数文字）
𢉿	から	# U+2227F → ひらがな
證	証	# 證(U+8B49): 1, 証(U+8A3C): 8 in DB
諫	諌	# 諫(U+8AEB): 419, 諌(U+8ACC): 2 in DB
賤	賎	# 賤(U+8CE4): 9, 賎(U+8CCE): 1 in DB
轉	転	# 轉(U+8F49): 9, 転(U+8EE2): 62 in DB
輕	軽	# 輕(U+8F15): 0, 軽(U+8EFD): 3345 in DB
邇	迩	# 邇(U+9087): 9, 迩(U+8FE9): 0 in DB
遲	遅	# 遲(U+9072): 0, 遅(U+9045): 86 in DB
鄕	郷	# 鄕(U+9115): 0, 郷(U+90F7): 17738 in DB
鑛	鉱	# 鑛(U+945B): 0, 鉱(U+9271): 41 in DB
鐵	鉄	# 鐵(U+9435): 0, 鉄(U+9244): 439 in DB
驛	駅	# 驛(U+9A5B): 1, 駅(U+99C5): 724 in DB
險	険	# 險(U+96AA): 0, 険(U+967A): 2 in DB
靜	静	# 靜(U+975C): 0, 静(U+9759): 7475 in DB
靱	靭	# 靱(U+9771): 8, 靭(U+976D): 7 in DB
頸	頚	# 頸(U+9838): 89, 頚(U+981A): 0 in DB
顯	顕	# 顯(U+986F): 0, 顕(U+9855): 18 in DB
飮	飲	# 飮(U+98EE): 0, 飲(U+98F2): 1 in DB
體	体	# 體(U+9AD4): 0, 体(U+4F53): 189 in DB
鰺	鯵	# 鰺(U+9C3A): 269, 鯵(U+9BF5): 9 in DB
鶯	鴬	# 鶯(U+9DAF): 186, 鴬(U+9D2C): 77 in DB
麥	麦	# 麥(U+9EA5): 1, 麦(U+9EA6): 527 in DB
變	変	# 變(U+8B8A): 0, 変(U+5909): 1 in DB
# 常用漢字表に含まれるが、地名で頻出する追加エントリ
與	与	# 與(U+8207): 96, 与(U+4E0E): 865 in DB
萬	万	# 萬(U+842C): 178, 万(U+4E07): 3818 in DB
壽	寿	# 壽(U+58FD): 11, 寿(U+5BFF): 824 in DB
寶	宝	# 寶(U+5BF6): 4, 宝(U+5B9D): 6307 in DB
戶	戸	# 戶(U+6236): 0, 戸(U+6238): 36531 in DB
櫻	桜	# 櫻(U+6AFB): 210, 桜(U+685C): 3704 in DB
擧	挙	# 擧(U+64E7): 1, 挙(U+6319): 88 in DB
單	単	# 單(U+55AE): 2, 単(U+5358): 1 in DB
學	学	# 學(U+5B78): 0, 学(U+5B66): 517 in DB
佛	仏	# 佛(U+4F5B): 222, 仏(U+4ECF): 1422 in DB
假	仮	# 假(U+5047): 4, 仮(U+4EEE): 302 in DB
餘	余	# 餘(U+9918): 25, 余(U+4F59): 1046 in DB
兒	児	# 兒(U+5152): 0, 児(U+5150): 22744 in DB
黨	党	# 黨(U+9EE8): 0, 党(U+515A): 2 in DB
册	冊	# 册(U+518C): 0, 冊(U+518A): 1 in DB
處	処	# 處(U+8655): 7, 処(U+51E6): 52 in DB
剩	剰	# 剩(U+5269): 0, 剰(U+5270): 4 in DB
勵	励	# 勵(U+52F5): 1, 励(U+52B1): 1 in DB
效	効	# 效(U+6548): 2, 効(U+52B9): 1 in DB
勸	勧	# 勸(U+52F8): 0, 勧(U+52E7): 48 in DB
勳	勲	# 勳(U+52F3): 0, 勲(U+52F2): 5 in DB
嚴	厳	# 嚴(U+56B4): 0, 厳(U+53B3): 507 in DB
收	収	# 收(U+6536): 0, 収(U+53CE): 5 in DB
號	号	# 號(U+865F): 0, 号(U+53F7): 20279 in DB
圍	囲	# 圍(U+570D): 3, 囲(U+56F2): 139 in DB
壓	圧	# 壓(U+58D3): 0, 圧(U+5727): 6 in DB
鹽	塩	# 鹽(U+9E7D): 0, 塩(U+5869): 8980 in DB
壤	壌	# 壤(U+58E4): 1, 壌(U+58CC): 2 in DB
壯	壮	# 壯(U+58EF): 0, 壮(U+58EE): 22 in DB
聲	声	# 聲(U+8072): 0, 声(U+58F0): 44 in DB
壹	壱	# 壹(U+58F9): 7, 壱(U+58F1): 5619 in DB
奬	奨	# 奬(U+596C): 0, 奨(U+5968): 1 in DB
盡	尽	# 盡(U+76E1): 3, 尽(U+5C3D): 13 in DB
屬	属	# 屬(U+5C6C): 0, 属(U+5C5E): 2401 in DB
嶽	岳	# 嶽(U+5DBD): 448, 岳(U+5CB3): 666 in DB
峽	峡	# 峽(U+5CFD): 3, 峡(U+5CE1): 33 in DB
卷	巻	# 卷(U+5377): 0, 巻(U+5DFB): 8492 in DB
廢	廃	# 廢(U+5EE2): 0, 廃(U+5EC3): 2 in DB
貳	弐	# 貳(U+8CB3): 0, 弐(U+5F10): 2397 in DB
