input,score,output,other,match_level,lg_code,pref,county,city,ward,machiaza_id,oaza_cho,chome,koaza,blk_num,blk_id,rsdt_num,rsdt_id,rsdt_num2,rsdt2_id,rsdt_addr_flg,prc_num1,prc_num2,prc_num3,prc_id,lat,lon,coordinate_level,pref_key,city_key,town_key,parcel_key,rsdtblk_key,rsdtdsp_key,spend_time
"北海道滝川市本町２丁目４番４号",0.8,"北海道滝川市本町二丁目4-4",,residential_detail,012254,北海道,,滝川市,,0041002,本町,二丁目,,4,004,4,004,,,1,,,,,43.559666143,141.906325364,residential_detail,5859364,3592693285,3007006845,,1474298406,1601578828,1.17
"北海道滝川市西町５丁目７番４１号",0.82,"北海道滝川市西町五丁目7-41",,residential_detail,012254,北海道,,滝川市,,0032005,西町,五丁目,,7,007,41,041,,,1,,,,,43.56656314,141.900002516,residential_detail,5859364,3592693285,4223879614,,1201409670,1692794765,1.17
"北海道空知郡上砂川町字上砂川町１２７番地５",0.91,"北海道空知郡上砂川町字上砂川町127-5",,parcel,014257,北海道,空知郡,上砂川町,,0003000,字上砂川町,,,,,,,,,0,127,5,,001270000500000,43.481753682,141.983937251,parcel,5859364,3710023104,149131484,381668738,,,1.16
"北海道砂川市西一条南１丁目１番７号",0.83,"北海道砂川市西一条南一丁目1-7",,residential_detail,012262,北海道,,砂川市,,0020001,西一条南,一丁目,,1,001,7,007,,,1,,,,,43.490259094,141.906603266,residential_detail,5859364,3814530208,1485088156,,2964448418,2725144363,1.13
"北海道滝川市江部乙町西１１丁目１４番４１号",0.81,"北海道滝川市江部乙町西十一丁目14-41",,residential_detail,012254,北海道,,滝川市,,0011011,江部乙町西,十一丁目,,14,014,41,041,,,1,,,,,43.625762964,141.935836995,residential_detail,5859364,3592693285,2537566074,,2184852192,3785956523,1.12
"北海道砂川市東一条南１１丁目１番１号",0.78,"北海道砂川市東一条南十一丁目1-1",,residential_detail,012262,北海道,,砂川市,,0041011,東一条南,十一丁目,,1,001,1,001,,,1,,,,,43.478443086,141.903610871,residential_detail,5859364,3814530208,3644497754,,3288372068,3157982251,1.13
"北海道芦別市上芦別町９４番地２６８",0.89,"北海道芦別市上芦別町94-268","94-268",machiaza_detail,012165,北海道,,芦別市,,0005000,上芦別町,,,,,,,,,0,,,,,43.493035,142.202046,machiaza_detail,5859364,3630676516,1834384062,,,,1.12
"北海道空知郡奈井江町字奈井江町８７番地３１",0.91,"北海道空知郡奈井江町字奈井江町87-31",,parcel,014249,北海道,空知郡,奈井江町,,0009000,字奈井江町,,,,,,,,,0,87,31,,000870003100000,43.430151408,141.889656454,parcel,5859364,4088554191,2455417305,2592056139,,,1.12
"北海道滝川市幸町３丁目３番１４号",0.82,"北海道滝川市幸町三丁目3-14",,residential_detail,012254,北海道,,滝川市,,0020003,幸町,三丁目,,3,003,14,014,,,1,,,,,43.57072121,141.906402624,residential_detail,5859364,3592693285,4140444763,,1913925415,1755345164,1.11
"北海道滝川市大町１丁目４番１３号",0.82,"北海道滝川市大町一丁目4-13",,residential_detail,012254,北海道,,滝川市,,0015001,大町,一丁目,,4,004,13,013,,,1,,,,,43.557943178,141.912328833,residential_detail,5859364,3592693285,1706518399,,4172423972,4193813864,1.11
